time_s,force_nN,indentation_nm,segment
0.0,0.1752678667519045,5863.918883623785,0
0.00025,0.1958021125103934,5861.818301505887,0
0.0005,0.1873315790969868,5859.474763399477,0
0.00075,0.19313721498536207,5856.610963047999,0
0.001,0.19734957316812785,5853.5654145676635,0
0.00125,0.1933602829635872,5850.366300068204,0
0.0015,0.19868503398206053,5847.111217949902,0
0.00175,0.19477477035992818,5843.4408545018905,0
0.002,0.2008775953214502,5839.99895250428,0
0.0022500000000000003,0.1965918156059602,5836.178557778832,0
0.0025,0.2000290434802535,5832.618476582954,0
0.00275,0.2077792330808939,5828.982488776103,0
0.003,0.2088268933226612,5825.564365329097,0
0.0032500000000000003,0.21121800204452665,5821.8959216822395,0
0.0035,0.20319556301963881,5818.159538464798,0
0.00375,0.20910572786783738,5814.388396994154,0
0.004,0.21271207533094957,5810.812585248148,0
0.00425,0.1970284228069055,5807.386978271196,0
0.0045000000000000005,0.2145519615392888,5803.653066324783,0
0.00475,0.209596699090497,5800.117244040583,0
0.005,0.21217878829224385,5796.369348605016,0
0.00525,0.2097048695366728,5792.848794817149,0
0.0055,0.2007056723525788,5789.106841056285,0
0.00575,0.19642465615963073,5785.973133711582,0
0.006,0.20288814562878976,5782.053851479035,0
0.00625,0.21062054000913333,5778.635104101906,0
0.006500000000000001,0.1996709018436217,5775.201782799074,0
0.00675,0.203856218270054,5771.725718773202,0
0.007,0.20052786211455495,5768.80497034104,0
0.00725,0.20859555887964415,5765.119399197616,0
0.0075,0.21746626923668136,5761.860004988745,0
0.00775,0.19774932934818742,5758.243947475377,0
0.008,0.1974487758768934,5755.166392536734,0
0.00825,0.20525164986580605,5751.91022812816,0
0.0085,0.22230116935826344,5748.329462044263,0
0.00875,0.21730247247807816,5745.22521563859,0
0.009000000000000001,0.21591348574873123,5741.712942081337,0
0.00925,0.19959159646258712,5738.360475655839,0
0.0095,0.20932809457344415,5735.295791742505,0
0.00975,0.2110923151766803,5732.012534475738,0
0.01,0.2052792526402342,5729.0077808160395,0
0.01025,0.20545131757405033,5725.821626129166,0
0.0105,0.2016688412167774,5722.420010414291,0
0.010750000000000001,0.20780291214950117,5719.217918390918,0
0.011,0.19979420609498655,5716.028941846633,0
0.01125,0.20108721254877046,5713.0608088427225,0
